original_title,original_author,found_title,publication_year,journal,abstract,text_cleaned,sdg_mapping,mapping_level
Sustainable Rehabilitation of Post-Bauxite Mining Land for Albizia falcata Cultivation Using Specific Location Amelioration Technology,Denah Suswati,Sustainable Rehabilitation of Post-Bauxite Mining Land for Albizia falcata Cultivation Using Specific Location Amelioration Technology,2023.0,,"mining, catalyzed by the escalating global demand for aluminum, leads to serious environmental repercussions, necessitating the development of efficient land rehabilitation techniques. This study presents a sustainable solution for post-bauxite mining land rehabilitation by leveraging red mud waste and cow manure fertilizer. Applied in PT Antam, Sanggau Regency, West Kalimantan, this research examines the potential of these ameliorants to restore ecological functions and promote the growth of Albizia falcata plants. Our findings reveal a remarkable enhancement in soil pH levels and nutrient availability (N, P, K, Ca, Mg, and Na) when applying a blend of 10% red mud and 20% cow manure fertilizer. Consequently, a significant improvement in the growth of Albizia falcata plants by factors ranging from 8 to 13 times was recorded. These results, alongside potential economic benefits, highlight the promise of this approach not to only confront the challenges posed by bauxite mining but also to contribute to global land rehabilitation strategies. While this study provides substantial insights, it recommends further exploration of this method involving diverse plant species, treatments with different ameliorants, and a broader range of observed variables. The study underscores the critical role of government intervention through stringent regulations and the need for a more comprehensive environmental and cost-benefit analysis to foster sustainable mining practices and responsible land rehabilitation.",sustainable rehabilitation of postbauxite mining land for albizia falcata cultivation using specific location amelioration technology mining catalyzed by the escalating global demand for aluminum leads to serious environmental repercussions necessitating the development of efficient land rehabilitation techniques this study presents a sustainable solution for postbauxite mining land rehabilitation by leveraging red mud waste and cow manure fertilizer applied in pt antam sanggau regency west kalimantan this research examines the potential of these ameliorants to restore ecological functions and promote the growth of albizia falcata plants our findings reveal a remarkable enhancement in soil ph levels and nutrient availability n p k ca mg and na when applying a blend of  red mud and  cow manure fertilizer consequently a significant improvement in the growth of albizia falcata plants by factors ranging from  to  times was recorded these results alongside potential economic benefits highlight the promise of this approach not to only confront the challenges posed by bauxite mining but also to contribute to global land rehabilitation strategies while this study provides substantial insights it recommends further exploration of this method involving diverse plant species treatments with different ameliorants and a broader range of observed variables the study underscores the critical role of government intervention through stringent regulations and the need for a more comprehensive environmental and costbenefit analysis to foster sustainable mining practices and responsible land rehabilitation,SDG 17,Sekunder
Overcoming Barriers to ISPO Certification: Analyzing the Drivers of Sustainable Agricultural Adoption among Farmers,Denah Suswati,Overcoming Barriers to ISPO Certification: Analyzing the Drivers of Sustainable Agricultural Adoption among Farmers,2023.0,,"palm oil industry, integral to Indonesia’s economy and the United Nations Sustainable Development Goals (SDGs), faces emerging economic, environmental, and social challenges. These compel the adoption of sustainable agricultural practices, particularly in light of the Indonesian Sustainable Palm Oil (ISPO) certification system’s implementation by 2025. This study develops a model integrating Ajzen’s Theory of Planned Behavior and Rogers’ Diffusion of Innovation theory to elucidate factors influencing farmers’ adoption of sustainable palm oil farming. Data from 300 palm oil farmers in West Kalimantan, Indonesia, were analyzed using structural equation modeling. The results indicated significant positive effects in terms of attitudes, subjective norms, perceived behavioral control, relative advantage, compatibility, and trialability on sustainable practice adoption, while the complexity negatively influenced adoption. These findings underscore the need to address farmers’ motivations, social norms, perceived control, and practice advantages for successful implementation. The study offers critical insights for policymakers and practitioners to formulate strategies that encourage the voluntary adoption of sustainable practices, balancing farmers’ needs and environmental sustainability.",overcoming barriers to ispo certification analyzing the drivers of sustainable agricultural adoption among farmers palm oil industry integral to indonesias economy and the united nations sustainable development goals sdgs faces emerging economic environmental and social challenges these compel the adoption of sustainable agricultural practices particularly in light of the indonesian sustainable palm oil ispo certification systems implementation by  this study develops a model integrating ajzens theory of planned behavior and rogers diffusion of innovation theory to elucidate factors influencing farmers adoption of sustainable palm oil farming data from  palm oil farmers in west kalimantan indonesia were analyzed using structural equation modeling the results indicated significant positive effects in terms of attitudes subjective norms perceived behavioral control relative advantage compatibility and trialability on sustainable practice adoption while the complexity negatively influenced adoption these findings underscore the need to address farmers motivations social norms perceived control and practice advantages for successful implementation the study offers critical insights for policymakers and practitioners to formulate strategies that encourage the voluntary adoption of sustainable practices balancing farmers needs and environmental sustainability,SDG 9,Tersier
Physical Potentials and Constraints of Tidal Peat Swamps for Agriculture (Case Study of Rasau Jaya District West Kalimantan Province Indonesia),Denah Suswati,"Physical Potentials and Constraints of Tidal Peat Swamps for Agriculture (Case Study of Rasau Jaya District, West Kalimantan Province, Indonesia)",2021.0,,"Tidal swamps which are widespread in lowland areas have the potential to be used for agricultural activities. The amount of rain potential available in this type of land can be used to supply water for irrigation purposes so that plants grow optimally. However, the tidal potential especially on the peat swamps area may have a negative impact, namely the occurrence of nutrient leaching from the soil, which is harmful to plants. Rasau Jaya, a tidal lowland area with peat swamp soil characteristic, is an area allocated for rice and corn cultivation. The study was conducted with the aim to determine the physical potential and constraints of land and water management in Rasau Jaya for the cultivation of both types of plants. This research was conducted through field observations and measurements as well as laboratory tests and model scale to evaluate the characteristics of existing land quality based on Land Suitability Classification by the Food and Agriculture Organization (FAO). The result of this study shows that characteristics of water availability in Rasau Jaya is classified as Class S1 Highly Suitable for rice and corn crops, while existing conditions of land in Rasau Jaya III are generally classified in the S2 class Moderately Suitable for rice and corn crops. Appropriate land management is needed to increase land productivity for the cultivation of the Rasau Jaya’s assigned priority crops.",physical potentials and constraints of tidal peat swamps for agriculture case study of rasau jaya district west kalimantan province indonesia tidal swamps which are widespread in lowland areas have the potential to be used for agricultural activities the amount of rain potential available in this type of land can be used to supply water for irrigation purposes so that plants grow optimally however the tidal potential especially on the peat swamps area may have a negative impact namely the occurrence of nutrient leaching from the soil which is harmful to plants rasau jaya a tidal lowland area with peat swamp soil characteristic is an area allocated for rice and corn cultivation the study was conducted with the aim to determine the physical potential and constraints of land and water management in rasau jaya for the cultivation of both types of plants this research was conducted through field observations and measurements as well as laboratory tests and model scale to evaluate the characteristics of existing land quality based on land suitability classification by the food and agriculture organization fao the result of this study shows that characteristics of water availability in rasau jaya is classified as class s highly suitable for rice and corn crops while existing conditions of land in rasau jaya iii are generally classified in the s class moderately suitable for rice and corn crops appropriate land management is needed to increase land productivity for the cultivation of the rasau jayas assigned priority crops,"SDG 15, SDG 9",Tersier
Effect of coastal sediment to nutrient availability and maize productivity on entisols,Denah Suswati,EFFECT OF COASTAL SEDIMENT TO NUTRIENT AVAILABILITY AND MAIZE PRODUCTIVITY ON ENTISOLS,2015.0,,"had a great potential for maize planting area expansion in increasing its production. The low soil fertility could be improved by application of coastal sediment. This current research examined the effect of different amount of coastal sediment on nutrient availability and maize production on Entisols, West Kalimantan. The research was conducted from July to November, 2013 in green house, Faculty of Agriculture, Tanjungpura University, West Kalimantan. The treatment conducted was the application of coastal sediment at dosage of: 0 Mg ha -1 (L 0 ), 14 Mg ha -1 (L 1 ), 28 Mg ha -1 (L 2 ), 42 Mg ha -1 (L 3 ), 56 Mg ha -1 (L 4 ), 72 ton ha -1 (L 5 ), 86 Mg ha -1 (L 6 ) and 100 Mg ha -1 (L 7 ). The treatments were arranged by completely randomized design with 3 replications. Research results showed that 42 Mg ha -1 coastal sediment was the best treatment and able to increase soil nutrients availability and maize productivity. The provision of coastal sediment increased the availability of K, Ca, Mg and Na, also the availability of nutrients in accordance with the increase of the dosage of coastal sediment.",effect of coastal sediment to nutrient availability and maize productivity on entisols had a great potential for maize planting area expansion in increasing its production the low soil fertility could be improved by application of coastal sediment this current research examined the effect of different amount of coastal sediment on nutrient availability and maize production on entisols west kalimantan the research was conducted from july to november  in green house faculty of agriculture tanjungpura university west kalimantan the treatment conducted was the application of coastal sediment at dosage of  mg ha  l    mg ha  l    mg ha  l    mg ha  l    mg ha  l    ton ha  l    mg ha  l   and  mg ha  l   the treatments were arranged by completely randomized design with  replications research results showed that  mg ha  coastal sediment was the best treatment and able to increase soil nutrients availability and maize productivity the provision of coastal sediment increased the availability of k ca mg and na also the availability of nutrients in accordance with the increase of the dosage of coastal sediment,SDG 9,Tersier
The effect of biostimulants and red mud on the growth and yield of shallots in post-unlicensed gold mining soil,P.  Surachman,The effect of biostimulants and red mud on the growth and yield of shallots in post-unlicensed gold mining soil,2024.0,,"Shallot production in West Kalimantan is still low. Land that has the potential for the development of shallots is the soil from post-unlicensed gold mining (PUGM). The soil at PUGM was exploited very extensively and can be used to develop shallots, but it is obstacled by low pH values and nutrient content. This research aims to investigate the impact of biostimulants and red mud on the growth and yield of shallots. The experiment was carried out in two stages: (1) investigated the ratio of the red mud and PUGM soil at the laboratory and (2) investigated the biostimulants and red mud effect on two varieties of shallots in a screen house. For the second experiment, there were three factors. The first factor was the biostimulant (0, 2, 3, and 4%); the second factor was the dose of red mud (0, 2, and 4 tons ha −1 ); and the third factor was the shallot varieties (Bima Brebes and Tajuk). The results of the first research indicated that the application of the red mud and PUGM soil in a ratio of 1:500 and 1:1,000 had a pH of 7.88 (slightly alkaline) and 7.24 (neutral), respectively. The second study found that a 2% concentration of biostimulant increased plant height and tuber count by 23.78 cm and 6.55 tubers, respectively. The Bima Brebes variety produced better fresh tubers weight clump −1 and dry tubers weight clump −1 than the Tajuk variety, with, respectively, 42.08 g (7.36 tons ha −1 ) and 32.60 g (5.71 tons ha −1 ). These findings show that the use of the biostimulants and red mud together in integrated management can help shallots grow and produce more, especially on PUGM land that has obstacles with low soil fertility. This research contributes to the identification of sustainable solutions for agricultural development in environments that have experienced severe land degradation, such as unlicensed gold mining activities.",the effect of biostimulants and red mud on the growth and yield of shallots in postunlicensed gold mining soil shallot production in west kalimantan is still low land that has the potential for the development of shallots is the soil from postunlicensed gold mining pugm the soil at pugm was exploited very extensively and can be used to develop shallots but it is obstacled by low ph values and nutrient content this research aims to investigate the impact of biostimulants and red mud on the growth and yield of shallots the experiment was carried out in two stages  investigated the ratio of the red mud and pugm soil at the laboratory and  investigated the biostimulants and red mud effect on two varieties of shallots in a screen house for the second experiment there were three factors the first factor was the biostimulant    and  the second factor was the dose of red mud   and  tons ha   and the third factor was the shallot varieties bima brebes and tajuk the results of the first research indicated that the application of the red mud and pugm soil in a ratio of  and  had a ph of  slightly alkaline and  neutral respectively the second study found that a  concentration of biostimulant increased plant height and tuber count by  cm and  tubers respectively the bima brebes variety produced better fresh tubers weight clump  and dry tubers weight clump  than the tajuk variety with respectively  g  tons ha   and  g  tons ha   these findings show that the use of the biostimulants and red mud together in integrated management can help shallots grow and produce more especially on pugm land that has obstacles with low soil fertility this research contributes to the identification of sustainable solutions for agricultural development in environments that have experienced severe land degradation such as unlicensed gold mining activities,SDG 9,Tersier
The Role of Marketing and Digital Marketing Capabilities: Entrepreneurial Orientation on the Marketing Performance of Public Enterprises,P.  Surachman,The Role of Marketing and Digital Marketing Capabilities: Entrepreneurial Orientation on the Marketing Performance of Public Enterprises,2023.0,,"enterprises and small and medium enterprises (SMEs) have similar goals in the eyes of the state. SMEs that get government or public bodies funding can make it a public enterprise. These enterprises in Indonesia face challenges due to limited resources, low market reach, and low marketing expertise. They must leverage their marketing capabilities effectively and adopt strategic approaches such as entrepreneurial orientation and digital marketing. This study explores digital marketing mediation and marketing capabilities in the relationship between entrepreneurial orientation and marketing performance in public enterprises. Survey techniques were used for this study, and data were obtained from 176 respondents who are entrepreneurs who use social media in their marketing activities. Data are processed and analysed using smartPLS. The results of this study show that entrepreneurial orientation significantly affects marketing capabilities, digital marketing and marketing performance in MSEs. Digital marketing and market capabilities have a direct positive influence on marketing performance. In addition, digital marketing and market capabilities mediate the relationship between entrepreneurial orientation and marketing performance. Marketing capabilities mediate the relationship between digital marketing and marketing performance.",the role of marketing and digital marketing capabilities entrepreneurial orientation on the marketing performance of public enterprises enterprises and small and medium enterprises smes have similar goals in the eyes of the state smes that get government or public bodies funding can make it a public enterprise these enterprises in indonesia face challenges due to limited resources low market reach and low marketing expertise they must leverage their marketing capabilities effectively and adopt strategic approaches such as entrepreneurial orientation and digital marketing this study explores digital marketing mediation and marketing capabilities in the relationship between entrepreneurial orientation and marketing performance in public enterprises survey techniques were used for this study and data were obtained from  respondents who are entrepreneurs who use social media in their marketing activities data are processed and analysed using smartpls the results of this study show that entrepreneurial orientation significantly affects marketing capabilities digital marketing and marketing performance in mses digital marketing and market capabilities have a direct positive influence on marketing performance in addition digital marketing and market capabilities mediate the relationship between entrepreneurial orientation and marketing performance marketing capabilities mediate the relationship between digital marketing and marketing performance,"SDG 8, SDG 9",Tersier
Contextualization of Religion and Entrepreneurial Performance: A Lens of Buddhist Small Business Entrepreneurs,P.  Surachman,Contextualization of Religion and Entrepreneurial Performance: A Lens of Buddhist Small Business Entrepreneurs,2022.0,,"study explores the manifestation of Buddhism's conception in underlying entrepreneurial performance. The study is a qualitative research approach with a development direction that comes from successful Buddhist small business entrepreneurs in Bekasi, Indonesia. The interpretive paradigm is used to interpret social life in the reality of successful Buddhist small business entrepreneurs on entrepreneurial performance. Data collection using in-depth interviews with Buddhist small business entrepreneurs in an open-ended format. Data analysis was done in many stages, including domain analysis, taxonomy analysis, component analysis, and theme analysis. The findings indicate that religion acts as an institution that legitimizes the formation of entrepreneurial performance. The performance of Buddhist small business entrepreneurs is manifest in their management of economic or material achievements, and their religious observance in a broad socio-economic context in the relationship of three aspects of human life, namely the individual, social, and environmental, as a form of entrepreneurial practice based on Buddhist values. This research reveals the embodiment of social responsibility for small business Buddhist entrepreneurs which is reflected in entrepreneurial performance through the manifestation of religious values. The findings provide theoretical relevance in institutional theory.",contextualization of religion and entrepreneurial performance a lens of buddhist small business entrepreneurs study explores the manifestation of buddhisms conception in underlying entrepreneurial performance the study is a qualitative research approach with a development direction that comes from successful buddhist small business entrepreneurs in bekasi indonesia the interpretive paradigm is used to interpret social life in the reality of successful buddhist small business entrepreneurs on entrepreneurial performance data collection using indepth interviews with buddhist small business entrepreneurs in an openended format data analysis was done in many stages including domain analysis taxonomy analysis component analysis and theme analysis the findings indicate that religion acts as an institution that legitimizes the formation of entrepreneurial performance the performance of buddhist small business entrepreneurs is manifest in their management of economic or material achievements and their religious observance in a broad socioeconomic context in the relationship of three aspects of human life namely the individual social and environmental as a form of entrepreneurial practice based on buddhist values this research reveals the embodiment of social responsibility for small business buddhist entrepreneurs which is reflected in entrepreneurial performance through the manifestation of religious values the findings provide theoretical relevance in institutional theory,SDG 9,Tersier
Perceived value dimension in repetitive fish consumption in Indonesia by using an extended theory of planned behavior,P.  Surachman,Perceived value dimension in repetitive fish consumption in Indonesia by using an extended theory of planned behavior,2019.0,,"This study aims to establish the findings by confirming the extent to which an extended version of the TPB estimation relates to repetitive fish consumption. This study is important for the sustainable consumption of fish in society. The purpose of this paper is to examine the relationship that explains perceived value, consisting of monetary and non-monetary values, in shaping attitudes on repetition of fish consumption. Design/methodology/approach The sampling of this study was conducted for eight months of 365 people who consumed fish for at least one year. This research was conducted in Malang City, Indonesia. Data analysis applied structural equation modelling by measuring perceived values, attitudes, social norms, behaviour control, intentions and frequency of fish consumption. Findings It mostly follows the extended theory of planned behaviour (TPB) sections, with exception on the relationship of subjective norms to intentions and attitudes, subjective norms and perceived value towards repetition of fish consumption. The results of the study indicate that attitudes are preceded by the formation of perceived values. The perceived value significantly affects attitude formation. The perceived value of fish consumption is explained by health and monetary values. A positive attitude does not always precede consumption. Subjective norms provide a weak role in the repetition of fish consumption, while behaviour control plays an important role in realising action on repetitive fish consumption. Originality/value This study helps explain the extended TPB, and intentions towards the behaviour of repetitive fish consumption. Attitudes are preceded by the formation of perceived values in the TPB in intention repetitive fish consumption.",perceived value dimension in repetitive fish consumption in indonesia by using an extended theory of planned behavior this study aims to establish the findings by confirming the extent to which an extended version of the tpb estimation relates to repetitive fish consumption this study is important for the sustainable consumption of fish in society the purpose of this paper is to examine the relationship that explains perceived value consisting of monetary and nonmonetary values in shaping attitudes on repetition of fish consumption designmethodologyapproach the sampling of this study was conducted for eight months of  people who consumed fish for at least one year this research was conducted in malang city indonesia data analysis applied structural equation modelling by measuring perceived values attitudes social norms behaviour control intentions and frequency of fish consumption findings it mostly follows the extended theory of planned behaviour tpb sections with exception on the relationship of subjective norms to intentions and attitudes subjective norms and perceived value towards repetition of fish consumption the results of the study indicate that attitudes are preceded by the formation of perceived values the perceived value significantly affects attitude formation the perceived value of fish consumption is explained by health and monetary values a positive attitude does not always precede consumption subjective norms provide a weak role in the repetition of fish consumption while behaviour control plays an important role in realising action on repetitive fish consumption originalityvalue this study helps explain the extended tpb and intentions towards the behaviour of repetitive fish consumption attitudes are preceded by the formation of perceived values in the tpb in intention repetitive fish consumption,SDG 9,Tersier
The Use of Peat Soil for Cultivating Ginger (Zingiber officinale) using Several Types of Ash and NPK Fertilizer,Radian S.M.,The Use of Peat Soil for Cultivating Ginger (Zingiber officinale) using Several Types of Ash and NPK Fertilizer,2024.0,,"Ginger is a highly demanded commodity that serves multiple purposes, including as a spice and a key ingredient in medicine. Since Indonesia has experienced a decrease in ginger production from 307,241.52 tons in 2021 to 247,455.49 tons in 2022, it is imperative to boost productivity. Kalimantan is dominated by peatlands, so farmers in West Kalimantan must optimize their management of peat soil to achieve the greatest possible yield. Methods: Research was conducted in Tanjungpura University, Pontianak City, Indonesia from May 1st to November 28th 2023. The study used a factorial randomized block design, with ash type (cow manure, rice husk, wood and coconut fiber) and NPK fertilizer dose (600-1200 kg/ha). Result: Different types of ash have varying effects on the growth and yield of ginger plants in peat soil. Cow manure ash is the most effective based on the dry weight of the plant, the number of tillers and the fresh weight of the rhizomes. However, NPK fertilizer doses did not significantly impact the growth and yield variables of ginger plants in peat soil.",the use of peat soil for cultivating ginger zingiber officinale using several types of ash and npk fertilizer ginger is a highly demanded commodity that serves multiple purposes including as a spice and a key ingredient in medicine since indonesia has experienced a decrease in ginger production from  tons in  to  tons in  it is imperative to boost productivity kalimantan is dominated by peatlands so farmers in west kalimantan must optimize their management of peat soil to achieve the greatest possible yield methods research was conducted in tanjungpura university pontianak city indonesia from may st to november th  the study used a factorial randomized block design with ash type cow manure rice husk wood and coconut fiber and npk fertilizer dose  kgha result different types of ash have varying effects on the growth and yield of ginger plants in peat soil cow manure ash is the most effective based on the dry weight of the plant the number of tillers and the fresh weight of the rhizomes however npk fertilizer doses did not significantly impact the growth and yield variables of ginger plants in peat soil,Tidak Teridentifikasi,Tidak Ada
Anthracnose Disease and Physiological Aspects of Soybean in Saturated Soil Culture in Tidal Land,Radian S.M.,Anthracnose Disease and Physiological Aspects of Soybean in Saturated Soil Culture in Tidal Land,2023.0,,"soil culture in tidal land could be an alternative measure for achieving sufficient soybean production to meet demand and reduce the current 56% dependence on imports.Therefore, this study aims to investigate disease development and the nitrogen fixation rate of soybean in water-saturated cultivation on tidal land.It was conducted in Simpang Village, Berbak District, East Tanjung Jabung, Jambi Province, Indonesia, and subjected to a randomized block design as an environmental design.The treatment consisted of 3 water inundation levels in the trench, namely, 15, 20, and 25 cm from the soil surface.The results showed that the height of standing water in a water-saturated cultivation system affected the soil moisture.Furthermore, high soil moisture results in a high anthracnose disease in soybean caused by the fungus Colletotrichumdematinum var.truncatum.The disease attack rate reached 15.7% with 72% soil moisture at a depth of 15 cm below the soil surface.There was also an attack rate of 16.3%, with soil moisture of 70.5% at a depth of 20 cm from the soil surface.The highest percentage of fallen pods in the treatment plots was up to 15cm and 20 cm in standing water, which was 17.3% and 16.7%, respectively.The root nodules' weight decreased in height by 25 cm from the soil surface.Furthermore, the rate of nitrogen fixation decreased, as indicated by a reduction in the activity of the root nodules' acetylene, which decreased at the height of the waterlogging 25 cm from the soil surface.Soybean crop yield was affected by the height of standing water in the trench.The numbers of filled pods, the weight of dry seeds per plant, and the weight of 100 seeds were lower at the height of water 25 cm from the soil surface.Additionally, disease severity was strongly correlated with root nodules and seed/plant dry weight.Increased disease severity significantly contributed to the decline in dry weight of root nodules, very strongly to dry seed/plant weight and moderately to acetylene-reducing activity.",anthracnose disease and physiological aspects of soybean in saturated soil culture in tidal land soil culture in tidal land could be an alternative measure for achieving sufficient soybean production to meet demand and reduce the current  dependence on importstherefore this study aims to investigate disease development and the nitrogen fixation rate of soybean in watersaturated cultivation on tidal landit was conducted in simpang village berbak district east tanjung jabung jambi province indonesia and subjected to a randomized block design as an environmental designthe treatment consisted of  water inundation levels in the trench namely   and  cm from the soil surfacethe results showed that the height of standing water in a watersaturated cultivation system affected the soil moisturefurthermore high soil moisture results in a high anthracnose disease in soybean caused by the fungus colletotrichumdematinum vartruncatumthe disease attack rate reached  with  soil moisture at a depth of  cm below the soil surfacethere was also an attack rate of  with soil moisture of  at a depth of  cm from the soil surfacethe highest percentage of fallen pods in the treatment plots was up to cm and  cm in standing water which was  and  respectivelythe root nodules weight decreased in height by  cm from the soil surfacefurthermore the rate of nitrogen fixation decreased as indicated by a reduction in the activity of the root nodules acetylene which decreased at the height of the waterlogging  cm from the soil surfacesoybean crop yield was affected by the height of standing water in the trenchthe numbers of filled pods the weight of dry seeds per plant and the weight of  seeds were lower at the height of water  cm from the soil surfaceadditionally disease severity was strongly correlated with root nodules and seedplant dry weightincreased disease severity significantly contributed to the decline in dry weight of root nodules very strongly to dry seedplant weight and moderately to acetylenereducing activity,SDG 12,Primer
Effect of mycorrhizal fungi in controlling bacterial leaf disease in lowland rice caused by xanthomonas oryzae pv oryzae bacteria,Radian S.M.,Effect of Mycorrhizal Fungi in Controlling Bacterial Leaf Disease in Lowland Rice Caused by Xanthomonas oryzae pv oryzae Bacteria,2020.0,,"leaf blight on lowland rice caused by Xanthomonas oryzaepvoryzae (Xoo) is still an important disease. Yield loss could reached 30-40%. This research was carried out in the experiment station and the plant disease laboratory, Faculty of Agriculture, Syiah Kuala University, Banda Aceh with the aim to determine the effect of mycorrhiza in controlling bacterial leaf blight on paddy rice plants. The design used was completely randomized design (CRD). Application of mycorrhiza as treatment consists of four dosage levels: 0 gram, 10 gram, 15 gram, and 20 gram per crop. Inpari 10 cultivar paddy wasusedas indicator plants. The results showed that mycorrhiza affected the incubation period of bacterial leaf blight, length of lession, disease intensity, plant height, and number of tillers of Inpari10 cultivars. The longest incubation period was obtained in the application of mycorrhiza as much as 15 grams per plant (10.33 days) and 20 grams per plant (10.12 days) after inoculation of Xoo bacteria. The shortest length of lession was obtained in the application of mycorrhiza in 20 grams perplant (2.45 cm) and the longest was obtained in plants that were not given mycorrhiza (5.05 cm). The highest disease intensity was obtained in plants that were not given mycorrhiza, namely 25.18% and the lowest in plants that were given mycorrhiza as much as 15 grams per plant and 20 grams per plant, namely 17.29 and 16.51%. The incubation period did not inhibit height growth (r = 0.399 ** and tillers formation (r = 0.348 **) Inpari cultivar paddy rice 10. But the length of the lesio inhibited plant height growth (r = - 0.618 **) and tillers formation (r = - 0.612 **) as well as the intensity of the disease inhibiting the growth of plant height (r = - 0.618 **) and the formation of tillers (r = - 0.584 **).",effect of mycorrhizal fungi in controlling bacterial leaf disease in lowland rice caused by xanthomonas oryzae pv oryzae bacteria leaf blight on lowland rice caused by xanthomonas oryzaepvoryzae xoo is still an important disease yield loss could reached  this research was carried out in the experiment station and the plant disease laboratory faculty of agriculture syiah kuala university banda aceh with the aim to determine the effect of mycorrhiza in controlling bacterial leaf blight on paddy rice plants the design used was completely randomized design crd application of mycorrhiza as treatment consists of four dosage levels  gram  gram  gram and  gram per crop inpari  cultivar paddy wasusedas indicator plants the results showed that mycorrhiza affected the incubation period of bacterial leaf blight length of lession disease intensity plant height and number of tillers of inpari cultivars the longest incubation period was obtained in the application of mycorrhiza as much as  grams per plant  days and  grams per plant  days after inoculation of xoo bacteria the shortest length of lession was obtained in the application of mycorrhiza in  grams perplant  cm and the longest was obtained in plants that were not given mycorrhiza  cm the highest disease intensity was obtained in plants that were not given mycorrhiza namely  and the lowest in plants that were given mycorrhiza as much as  grams per plant and  grams per plant namely  and  the incubation period did not inhibit height growth r    and tillers formation r    inpari cultivar paddy rice  but the length of the lesio inhibited plant height growth r     and tillers formation r     as well as the intensity of the disease inhibiting the growth of plant height r     and the formation of tillers r    ,"SDG 7, SDG 9",Tersier
Characterization of Physicochemical Properties and and Heavy Metals Content of Soils under Kratom (Mitragyna speciosa) Cultivation Kapuas Hulu District Indonesia,U. Edi Suryadi,"Characterization of Physicochemical Properties and and Heavy Metals Content of Soils under Kratom (Mitragyna speciosa) Cultivation, Kapuas Hulu District, Indonesia",2024.0,,"Kapuas Hulu is a district in West Kalimantan Province, Indonesia, which is famous for its production of kratom (Mitragyna speciosa), a traditional medicinal plant. Kratom is the main cultivated plant carried out by farmers. However, data regarding the physicochemical properties of kratom plantation soil are still limited, especially regarding the heavy metal content. This research aimed to determine the physicochemical properties and heavy metal content of soil planted with kratom. Methods: This research was conducted on alluvial soil and peat planted with kratom. This research is survey of 2 fields where sampling from each land was carried out using the diagonal method, where 5 sub-samples were taken per land and composited, except for volume Weight. Result: Mineral land and peat land can be used as land for Kratom cultivation because the physicochemical properties of both lands support the growth of Kratom plus the heavy metal content is below the critical threshold.",characterization of physicochemical properties and and heavy metals content of soils under kratom mitragyna speciosa cultivation kapuas hulu district indonesia kapuas hulu is a district in west kalimantan province indonesia which is famous for its production of kratom mitragyna speciosa a traditional medicinal plant kratom is the main cultivated plant carried out by farmers however data regarding the physicochemical properties of kratom plantation soil are still limited especially regarding the heavy metal content this research aimed to determine the physicochemical properties and heavy metal content of soil planted with kratom methods this research was conducted on alluvial soil and peat planted with kratom this research is survey of  fields where sampling from each land was carried out using the diagonal method where  subsamples were taken per land and composited except for volume weight result mineral land and peat land can be used as land for kratom cultivation because the physicochemical properties of both lands support the growth of kratom plus the heavy metal content is below the critical threshold,"SDG 15, SDG 9",Tersier
CO2 emissions of tropical peat soils under controlled groundwater table depths: A laboratory-based experiment,U. Edi Suryadi,CO2 emissions of tropical peat soils under controlled groundwater table depths: A laboratory-based experiment,2024.0,,"groundwater table (GWT) is widely recognized as a key factor influencing CO2 emissions in tropical peatlands. However, previous studies investigating this relationship have reported diverse results. This variability likely stems from the dynamic nature of field-based groundwater conditions. To address this, our study investigated the relationship between controlled GWT and CO2 emissions in a laboratory experiment using PVC columns filled with peat soil. GWT depths were adjusted to 20 cm, 30 cm, 40 cm, 50 cm, and 60 cm within a large container filled with peat pore water. CO2 emissions were measured using an Infra Red Gas Analyzer - Environmental Gas Monitoring-4 instrument, with a closed-chamber system. Our findings revealed significant differences in CO2 emissions between treatments, except for the transition from 20 cm to 30 cm GWT. Correlation analysis showed a positive correlation (R² = 0.25). Notably, CO2 emission factor values based on average yearly emission rates displayed a substantial increase with decreasing GWT, exhibiting a strong exponential relationship (R² = 0.99).",co emissions of tropical peat soils under controlled groundwater table depths a laboratorybased experiment groundwater table gwt is widely recognized as a key factor influencing co emissions in tropical peatlands however previous studies investigating this relationship have reported diverse results this variability likely stems from the dynamic nature of fieldbased groundwater conditions to address this our study investigated the relationship between controlled gwt and co emissions in a laboratory experiment using pvc columns filled with peat soil gwt depths were adjusted to  cm  cm  cm  cm and  cm within a large container filled with peat pore water co emissions were measured using an infra red gas analyzer  environmental gas monitoring instrument with a closedchamber system our findings revealed significant differences in co emissions between treatments except for the transition from  cm to  cm gwt correlation analysis showed a positive correlation r   notably co emission factor values based on average yearly emission rates displayed a substantial increase with decreasing gwt exhibiting a strong exponential relationship r  ,"SDG 7, SDG 9",Tersier
